,Location,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Riner, Montgomery (24149)",37.011934,-80.41897,bread basket,37.018348693847656,-80.42888641357422,Bakery
1,"Riner, Montgomery (24149)",37.011934,-80.41897,B & B Quality Fencing Inc,37.023586,-80.426829,Moving Target
2,"New Point, Mathews (23125)",37.342721,-76.27989,New Point RV Resort,37.34438015,-76.2763409,RV Park
3,"New Point, Mathews (23125)",37.342721,-76.27989,Warung Kopi Fauzan Lampineung,37.3534046,-76.2855634,Café
4,"New Point, Mathews (23125)",37.342721,-76.27989,Tower Coffee,37.3534046,-76.2855634,Coffee Shop
5,"New Point, Mathews (23125)",37.342721,-76.27989,Davis Creek Marina,37.3322208831982,-76.2973583797737,Harbor / Marina
6,"New Point, Mathews (23125)",37.342721,-76.27989,Weis Choice Marina,37.329490661621094,-76.29450225830078,Beach
7,"Fort Valley, Shenandoah (22652)",38.823987,-78.4531,Shenandoah Meadows,38.815174,-78.455619,Campground
8,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Stone Hot Pizza,38.8406469,-77.1208983,Pizza Place
9,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Balageru Restaurant & Market,38.84134097704333,-77.11908626048793,Ethiopian Restaurant
10,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Eyo Ethiopian Restaurant,38.84134307708539,-77.12029184215417,Ethiopian Restaurant
11,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Filipino Global Supermarket,38.8470901520499,-77.12338711800389,Filipino Restaurant
12,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,District Taco,38.8461354192193,-77.1200788012581,Taco Place
13,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Clyde's at Mark Center,38.83340461210701,-77.12297397782427,American Restaurant
14,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,REI,38.848938672665334,-77.12338997287748,Sporting Goods Shop
15,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,BalletNova Center for Dance,38.849833843146016,-77.12294895728785,Dance Studio
16,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Fairouz Cafe,38.841559057519056,-77.11940555243659,Mediterranean Restaurant
17,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Dunkin',38.8421499,-77.10927,Donut Shop
18,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Beard Papa's,38.844096507906976,-77.11915909577425,Bakery
19,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Homewood Suites by Hilton,38.844479841719725,-77.1118859946796,Hotel
20,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Haifa Grill,38.84706666506585,-77.1251381507869,Halal Restaurant
21,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Dairy Queen,38.84766904092625,-77.11734205484385,Ice Cream Shop
22,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Dora Kelley Nature Park,38.83110358991879,-77.1371059820809,Park
23,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,German Gourmet,38.8491070431479,-77.13317035701132,German Restaurant
24,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Al-Amal Super Market,38.841059249684776,-77.11935382611628,Market
25,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,ALDI,38.8292461,-77.1094289,Market
26,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,City Diner,38.848455953233966,-77.12493217554471,Diner
27,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,The Chicken Place,38.847423466069834,-77.12274648480013,South American Restaurant
28,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Silver Diner,38.84131,-77.10754,Diner
29,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Potbelly Sandwich Shop,38.84222414857003,-77.10943919510652,Sandwich Place
30,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,DSW Designer Shoe Warehouse,38.8479322,-77.1217532,Shoe Store
31,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Edy's Chicken & Steak,38.84625628956725,-77.11797352742235,Latin American Restaurant
32,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Starbucks,38.830837,-77.12571,Coffee Shop
33,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Global Foods,38.831481256955726,-77.12532959866171,Market
34,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,World Market,38.8487604,-77.1203224,Furniture / Home Store
35,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Wendy’s,38.843201,-77.108834,Fast Food Restaurant
36,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,LongHorn Steakhouse,38.84774759233613,-77.11903548569201,Steakhouse
37,"Alexandria, Alexandria City (22311)",38.837312,-77.12064,Hilton,38.83309713452399,-77.11759579175123,Hotel
38,"Newport News, Newport News City (23601)",37.053346,-76.45948,Hot Dog King,37.05123947485569,-76.46102645894143,Hot Dog Joint
39,"Newport News, Newport News City (23601)",37.053346,-76.45948,Midtown Aquatic Center,37.043364782605806,-76.4606068473227,Pool
40,"Newport News, Newport News City (23601)",37.053346,-76.45948,Games Farmer's Market,37.06375220962271,-76.459995488334,Farmers Market
41,"Newport News, Newport News City (23601)",37.053346,-76.45948,Pelican's SnoBalls,37.04795060574328,-76.47426129073935,Dessert Shop
42,"Newport News, Newport News City (23601)",37.053346,-76.45948,Smoke,37.042644432801914,-76.47221334894944,BBQ Joint
43,"Newport News, Newport News City (23601)",37.053346,-76.45948,Anderson's Home & Garden,37.06326339256359,-76.46789314273094,Garden Center
44,"Newport News, Newport News City (23601)",37.053346,-76.45948,Dollar Tree,37.04328902323904,-76.47221912582388,Discount Store
45,"Newport News, Newport News City (23601)",37.053346,-76.45948,Captain D's,37.040950216842866,-76.45870350681889,Seafood Restaurant
46,"Newport News, Newport News City (23601)",37.053346,-76.45948,Zumiez,37.04977912649796,-76.43801021746457,Clothing Store
47,"Newport News, Newport News City (23601)",37.053346,-76.45948,Walgreens,37.0377724,-76.4554274,Pharmacy
48,"Newport News, Newport News City (23601)",37.053346,-76.45948,Taco Bell,37.052024795777946,-76.46094330130005,Fast Food Restaurant
49,"Newport News, Newport News City (23601)",37.053346,-76.45948,Hardee's,37.0551888,-76.4641308,Fast Food Restaurant
50,"Newport News, Newport News City (23601)",37.053346,-76.45948,CVS pharmacy,37.05859045900357,-76.46615567460988,Pharmacy
51,"Newport News, Newport News City (23601)",37.053346,-76.45948,Dollar General,37.043358,-76.45118,Discount Store
