"zip","city","county","pop"
"22193","Woodbridge","Prince William","82573"
"23464","Virginia Beach","Virginia Beach City","76495"
"22191","Woodbridge","Prince William","70641"
"23322","Chesapeake","Chesapeake City","65603"
"20147","Ashburn","Loudoun","64197"
"23462","Virginia Beach","Virginia Beach City","63659"
"23454","Virginia Beach","Virginia Beach City","59699"
"22003","Annandale","Fairfax","59586"
"22030","Fairfax","Fairfax City","59466"
"23452","Virginia Beach","Virginia Beach City","59324"
"22407","Fredericksburg","Spotsylvania","58526"
"22192","Woodbridge","Prince William","58439"
"23320","Chesapeake","Chesapeake City","56765"
"22554","Stafford","Stafford","56016"
"24060","Blacksburg","Montgomery","55747"
"22204","Arlington","Arlington","55386"
"23456","Virginia Beach","Virginia Beach City","54216"
"23112","Midlothian","Chesterfield","53162"
"20176","Leesburg","Loudoun","53017"
"23666","Hampton","Hampton City","51930"
"23223","Richmond","Richmond City","51334"
"20171","Herndon","Fairfax","50342"
"23455","Virginia Beach","Virginia Beach City","49703"
"23434","Suffolk","Suffolk City","49556"
"20110","Manassas","Manassas City","48509"
"22304","Alexandria","Alexandria City","48211"
"20148","Ashburn","Loudoun","48110"
"23185","Williamsburg","James City","48036"
"24502","Lynchburg","Lynchburg City","45406"
"23234","Richmond","Chesterfield","45201"
"22015","Burke","Fairfax","44852"
"23188","Williamsburg","James City","43687"
"20170","Herndon","Fairfax","43116"
"23225","Richmond","Richmond City","42960"
"23451","Virginia Beach","Virginia Beach City","42776"
"23608","Newport News","Newport News City","42234"
"20120","Centreville","Fairfax","41733"
"23669","Hampton","Hampton City","41669"
"20164","Sterling","Loudoun","41228"
"20109","Manassas","Manassas City","40717"
"22801","Harrisonburg","Harrisonburg City","40657"
"22903","Charlottesville","Charlottesville City","40507"
"23224","Richmond","Richmond City","40445"
"22033","Fairfax","Fairfax","40170"
"23323","Chesapeake","Chesapeake City","39568"
"23602","Newport News","Newport News City","39391"
"23803","Petersburg","Petersburg City","38654"
"23060","Glen Allen","Henrico","38211"
"24153","Salem","Salem","38125"
"24018","Roanoke","Roanoke","37584"
"22201","Arlington","Arlington","37545"
"23832","Chesterfield","Chesterfield","36849"
"23831","Chester","Chesterfield","36765"
"23231","Richmond","Henrico","36657"
"23111","Mechanicsville","Hanover","36574"
"22309","Alexandria","Fairfax","36325"
"23228","Richmond","Henrico","35950"
"20111","Manassas","Manassas Park City","35797"
"24401","Staunton","Staunton City","35702"
"22079","Lorton","Fairfax","35592"
"23321","Chesapeake","Chesapeake City","35489"
"23229","Richmond","Henrico","35479"
"22306","Alexandria","Fairfax","35279"
"23059","Glen Allen","Hanover","35124"
"22901","Charlottesville","Albemarle","35108"
"20155","Gainesville","Prince William","35107"
"22701","Culpeper","Culpeper","35087"
"22042","Falls Church","Fairfax","34486"
"23220","Richmond","Richmond City","34280"
"20152","Chantilly","Loudoun","34191"
"22314","Alexandria","Alexandria City","33926"
"22312","Alexandria","Fairfax","33786"
"20175","Leesburg","Loudoun","33723"
"22207","Arlington","Arlington","33285"
"22031","Fairfax","Fairfax City","32826"
"20165","Sterling","Loudoun","32744"
"22630","Front Royal","Warren","32392"
"23235","Richmond","Chesterfield","32355"
"22310","Alexandria","Fairfax","32195"
"23503","Norfolk","Norfolk City","32080"
"22980","Waynesboro","Waynesboro City","31846"
"22153","Springfield","Fairfax","31348"
"22032","Fairfax","Fairfax","31180"
"23233","Richmond","Henrico","31089"
"23513","Norfolk","Norfolk City","31056"
"22405","Fredericksburg","Stafford","30950"
"23116","Mechanicsville","Hanover","30689"
"23860","Hopewell","Hopewell City","30658"
"24540","Danville","Danville City","30646"
"20136","Bristow","Prince William","30635"
"24073","Christiansburg","Montgomery","30478"
"24012","Roanoke","Roanoke City","30335"
"22408","Fredericksburg","Spotsylvania","30126"
"20121","Centreville","Fairfax","30097"
"20191","Reston","Fairfax","30069"
"23435","Suffolk","Suffolk City","30018"
"22602","Winchester","Frederick","29923"
"22802","Harrisonburg","Rockingham","29921"
"23518","Norfolk","Norfolk City","29723"
"22152","Springfield","Fairfax","29599"
"23505","Norfolk","Norfolk City","29524"
"24112","Martinsville","Martinsville City","29522"
"22101","Mc Lean","Fairfax","29296"
